Folder,Dataset,Task,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,Forgetting_1,Forgetting_2,Forgetting_3,Forgetting_4,Forgetting_5,FirstTask_1,FirstTask_2,FirstTask_3,FirstTask_4,FirstTask_5
4-sq-fashion-047_1-BGD,Fashion-MNIST,Class Split,0.809248,0.815442,0.810281,0.810816,0.799227,0.411719,0.390112,0.398612,0.396206,0.438213,0.659655,0.677300,0.672965,0.673275,0.637965
4-sq-fashion-047_1-BGD,Fashion-MNIST,Permutation,0.707277,0.720162,0.719336,0.711638,0.706208,0.268083,0.212667,0.197900,0.157200,0.255306,0.608680,0.654595,0.665475,0.706105,0.611000
4-sq-fashion-047_1-BGD,Fashion-MNIST,Rotation,0.487271,0.488670,0.487415,0.486630,0.494531,0.609411,0.608094,0.600139,0.609439,0.618033,0.296300,0.297050,0.302775,0.290560,0.288275
4-sq-fashion-05_4-MEGA-oldest,Fashion-MNIST,Class Split,0.937951,0.936552,0.940740,0.941578,0.939645,0.068462,0.064350,0.062356,0.061900,0.059769,0.931915,0.934100,0.935665,0.934560,0.937460
4-sq-fashion-05_4-MEGA-oldest,Fashion-MNIST,Permutation,0.735197,0.726239,0.725941,0.728567,0.741628,0.070639,0.055544,0.038961,0.051822,0.056456,0.715620,0.730975,0.748140,0.727205,0.730250
4-sq-fashion-05_4-MEGA-oldest,Fashion-MNIST,Rotation,0.593554,0.616249,0.582115,0.592604,0.601480,0.226706,0.272033,0.228650,0.272017,0.252761,0.575960,0.541235,0.568820,0.533920,0.557635
4-sq-fashion-909-v2,Fashion-MNIST,Class Split,0.925526,0.928419,0.929428,0.924919,0.923090,0.074206,0.060969,0.065306,0.078169,0.082256,0.924995,0.934830,0.931665,0.921225,0.917620
4-sq-fashion-909-v2,Fashion-MNIST,Permutation,0.717074,0.730060,0.723541,0.718456,0.732276,0.053689,0.008367,0.033644,0.021083,0.027261,0.684850,0.713990,0.701625,0.695955,0.699820
4-sq-fashion-909-v2,Fashion-MNIST,Rotation,0.551014,0.556010,0.546397,0.549636,0.559138,0.290506,0.278456,0.313411,0.250772,0.264289,0.467250,0.470615,0.456680,0.495115,0.492800
4-sq-fashion-sr1-05_4-MEGA-mean,Fashion-MNIST,Class Split,0.943206,0.946354,0.946768,0.942553,0.943274,0.034319,0.037612,0.039025,0.043125,0.054319,0.956900,0.953065,0.951900,0.948890,0.940505
4-sq-fashion-sr1-05_4-MEGA-mean,Fashion-MNIST,Permutation,0.740007,0.728379,0.729678,0.729284,0.741931,0.048572,0.060250,0.056106,0.062806,0.027728,0.743675,0.727260,0.731020,0.722680,0.755475
4-sq-fashion-sr1-05_4-MEGA-mean,Fashion-MNIST,Rotation,0.602064,0.573062,0.584914,0.615210,0.630266,0.202328,0.297639,0.212511,0.203889,0.170856,0.596195,0.505210,0.586775,0.598575,0.623950
4-sq-fashion-sr1-909-v1,Fashion-MNIST,Class Split,0.925501,0.932393,0.930751,0.932008,0.922676,0.060156,0.057963,0.058262,0.053325,0.072362,0.936420,0.937620,0.937215,0.940595,0.926335
4-sq-fashion-sr1-909-v1,Fashion-MNIST,Permutation,0.730490,0.711596,0.720788,0.727968,0.727346,0.006644,0.005056,0.004389,0.022328,0.002339,0.731505,0.720365,0.718055,0.714990,0.731005
4-sq-fashion-sr1-909-v1,Fashion-MNIST,Rotation,0.581652,0.557682,0.572791,0.572097,0.552561,0.235889,0.209017,0.242639,0.186167,0.188267,0.523360,0.538390,0.503990,0.564660,0.550075
4-sq-fashion-sr1-megaii-oldest,Fashion-MNIST,Class Split,0.941410,0.940698,0.941082,0.945898,0.939741,0.053169,0.062400,0.047031,0.056881,0.063125,0.943515,0.934200,0.946985,0.940425,0.933440
4-sq-fashion-sr1-megaii-oldest,Fashion-MNIST,Permutation,0.730361,0.723562,0.720588,0.720777,0.729656,0.018217,0.059817,0.065028,0.032578,0.054078,0.733985,0.718085,0.698810,0.728425,0.703750
4-sq-fashion-sr1-megaii-oldest,Fashion-MNIST,Rotation,0.571121,0.588462,0.578792,0.574975,0.600880,0.254144,0.247667,0.224433,0.250761,0.209033,0.530280,0.536945,0.547790,0.531325,0.569935
4-sq-fashion-sr1-normal-mean,Fashion-MNIST,Class Split,0.929539,0.929418,0.932695,0.928162,0.932540,0.042225,0.045444,0.040600,0.042137,0.050769,0.950320,0.947085,0.950610,0.949265,0.943385
4-sq-fashion-sr1-normal-mean,Fashion-MNIST,Permutation,0.732614,0.713353,0.728265,0.726087,0.723188,-0.002517,0.026994,0.031233,0.004017,0.022044,0.737750,0.695810,0.702235,0.726835,0.700535
4-sq-fashion-sr1-normal-mean,Fashion-MNIST,Rotation,0.559916,0.563975,0.569288,0.565291,0.558947,0.255428,0.227672,0.192289,0.216406,0.267678,0.507840,0.520930,0.548155,0.543160,0.495530
4-sq-fashion-sr1-normal-oldest,Fashion-MNIST,Class Split,0.926156,0.923998,0.923719,0.928278,0.926704,0.066012,0.074494,0.065031,0.071475,0.072312,0.930935,0.924675,0.932315,0.926805,0.925800
4-sq-fashion-sr1-normal-oldest,Fashion-MNIST,Permutation,0.720248,0.723306,0.724836,0.735237,0.718050,0.002594,0.027550,0.028033,0.021444,0.018711,0.726095,0.706075,0.704940,0.710625,0.701845
4-sq-fashion-sr1-normal-oldest,Fashion-MNIST,Rotation,0.563522,0.561762,0.553522,0.553444,0.555982,0.227617,0.269922,0.299761,0.262678,0.243078,0.507375,0.478520,0.448475,0.491605,0.496820
4-sq-fashion-sr1-normal-random,Fashion-MNIST,Class Split,0.825563,0.822871,0.822914,0.823169,0.826929,0.384738,0.388119,0.386962,0.384375,0.379525,0.676320,0.672205,0.672675,0.675115,0.680455
4-sq-fashion-sr1-normal-random,Fashion-MNIST,Permutation,0.718109,0.732879,0.704475,0.718946,0.709999,0.077733,0.036239,0.086206,0.022511,0.063467,0.661055,0.714175,0.652335,0.709350,0.663520
4-sq-fashion-sr1-normal-random,Fashion-MNIST,Rotation,0.494633,0.490216,0.488528,0.494462,0.491805,0.482472,0.463933,0.470561,0.478722,0.470628,0.304215,0.309155,0.300020,0.301255,0.302400
